"Rank","Economy","Strength / Weakness","Value","Score"
"1","Switzerland","Strength","-","66.3"
"2","Sweden","Strength","-","63.6"
"3","United Kingdom","Strength","-","61.9"
"4","United States of America","","-","61.4"
"5","Finland","","-","59.9"
"6","Singapore","","-","59.2"
"7","Ireland","Strength","-","59.0"
"8","Denmark","","-","58.5"
"9","Netherlands","","-","58.3"
"10","Germany","","-","57.9"
"11","Korea, Republic of","","-","57.1"
"12","Luxembourg","","-","57.1"
"13","Iceland","","-","56.0"
"14","Hong Kong (China)","","-","55.7"
"15","Canada","","-","54.7"
"16","Japan","","-","54.5"
"17","New Zealand","","-","54.2"
"18","France","","-","54.0"
"19","Australia","","-","53.1"
"20","Austria","","-","52.6"
"21","Israel","","-","52.3"
"22","Norway","","-","52.0"
"23","Belgium","","-","52.0"
"24","Estonia","","-","51.7"
"25","China","","-","50.6"
"26","Malta","","-","50.4"
"27","Czech Republic","","-","49.4"
"28","Spain","","-","49.2"
"29","Italy","","-","47.2"
"30","Portugal","","-","46.4"
"31","Cyprus","","-","46.3"
"32","Slovenia","","-","46.0"
"33","Hungary","","-","44.7"
"34","Latvia","","-","44.3"
"35","Malaysia","","-","43.4"
"36","Lithuania","","-","41.8"
"37","Slovakia","","-","41.7"
"38","Bulgaria","","-","41.4"
"39","Poland","","-","40.2"
"40","Greece","","-","39.8"
"41","United Arab Emirates","","-","39.4"
"42","Turkey","","-","39.0"
"43","Russian Federation","","-","38.5"
"44","Chile","","-","38.4"
"45","Costa Rica","","-","38.4"
"46","Moldova, Republic of","","-","38.4"
"47","Croatia","","-","38.3"
"48","Romania","","-","37.9"
"49","Saudi Arabia","","-","37.8"
"50","Qatar","","-","37.5"
"51","Montenegro","","-","37.4"
"52","Thailand","","-","36.5"
"53","Mauritius","","-","35.9"
"54","South Africa","","-","35.8"
"55","Mongolia","","-","35.7"
"56","Ukraine","","-","35.7"
"57","Bahrain","","-","35.5"
"58","The Former Yugoslav Republic (FYR) of Macedonia","","-","35.4"
"59","Viet Nam","","-","35.4"
"60","Armenia","","-","35.1"
"61","Mexico","","-","34.6"
"62","Uruguay","","-","34.3"
"63","Colombia","","-","34.2"
"64","Georgia","","-","33.9"
"65","Serbia","","-","33.8"
"66","India","","-","33.6"
"67","Kuwait","","-","33.6"
"68","Panama","","-","33.5"
"69","Brazil","","-","33.2"
"70","Lebanon","","-","32.7"
"71","Peru","","-","32.5"
"72","Morocco","","-","32.3"
"73","Oman","","-","32.2"
"74","Philippines","","-","31.8"
"75","Kazakhstan","","-","31.5"
"76","Dominican Republic","","-","30.6"
"77","Tunisia","","-","30.6"
"78","Iran, Islamic Republic of","","-","30.5"
"79","Belarus","","-","30.4"
"80","Kenya","","-","30.4"
"81","Argentina","","-","30.2"
"82","Jordan","","-","30.0"
"83","Rwanda","","-","30.0"
"84","Mozambique","","-","29.8"
"85","Azerbaijan","","-","29.6"
"86","Tajikistan","","-","29.6"
"87","Bosnia and Herzegovina","","-","29.6"
"88","Indonesia","","-","29.1"
"89","Jamaica","","-","29.0"
"90","Botswana","","-","29.0"
"91","Sri Lanka","","-","28.9"
"92","Albania","","-","28.4"
"93","Namibia","","-","28.2"
"94","Paraguay","","-","28.2"
"95","Cambodia","","-","27.9"
"96","Bhutan","","-","27.9"
"97","Guatemala","","-","27.3"
"98","Malawi","","-","27.3"
"99","Uganda","","-","27.1"
"100","Ecuador","","-","27.1"
"101","Honduras","","-","26.9"
"102","Ghana","","-","26.7"
"103","Kyrgyzstan","","-","26.6"
"104","El Salvador","","-","26.6"
"105","Tanzania, United Republic of","","-","26.4"
"106","Senegal","","-","26.1"
"107","Egypt","","-","26.0"
"108","Côte d'Ivoire","","-","25.8"
"109","Bolivia, Plurinational State of","","-","25.2"
"110","Ethiopia","","-","24.8"
"111","Madagascar","","-","24.8"
"112","Mali","","-","24.8"
"113","Algeria","","-","24.5"
"114","Nigeria","","-","23.1"
"115","Nepal","","-","23.1"
"116","Nicaragua","","-","23.1"
"117","Bangladesh","","-","22.9"
"118","Cameroon","","-","22.8"
"119","Pakistan","","-","22.6"
"120","Venezuela, Bolivarian Republic of","","-","22.3"
"121","Benin","","-","22.2"
"122","Burkina Faso","Weakness","-","21.0"
"123","Burundi","","-","20.9"
"124","Niger","","-","20.4"
"125","Zambia","Weakness","-","19.9"
"126","Togo","Weakness","-","18.4"
"127","Guinea","Weakness","-","17.2"
"128","Yemen","Weakness","-","14.6"
